frames=17648
samplerate=44100, outrate=32768
channels=2
num_items=35296
Read 35296 items
idx = 1009	 inval = -2009595904	 outidx = 375	 outval = -59
idx = 1012	 inval = -2010120192	 outidx = 376	 outval = -59
idx = 1014	 inval = -2010185728	 outidx = 377	 outval = -59
idx = 1017	 inval = -2010054656	 outidx = 378	 outval = -59
idx = 1020	 inval = -2009726976	 outidx = 379	 outval = -59
idx = 1022	 inval = -2009530368	 outidx = 380	 outval = -59
idx = 1025	 inval = -2009268224	 outidx = 381	 outval = -59
idx = 1028	 inval = -2008940544	 outidx = 382	 outval = -59
idx = 1030	 inval = -2008678400	 outidx = 383	 outval = -59
idx = 1036	 inval = -2007957504	 outidx = 385	 outval = -59
idx = 1038	 inval = -2007695360	 outidx = 386	 outval = -59
idx = 1041	 inval = -2007433216	 outidx = 387	 outval = -59
idx = 1044	 inval = -2007040000	 outidx = 388	 outval = -59
idx = 1047	 inval = -2006712320	 outidx = 389	 outval = -59
idx = 1049	 inval = -2006515712	 outidx = 390	 outval = -59
idx = 1052	 inval = -2005991424	 outidx = 391	 outval = -59
idx = 1055	 inval = -2005794816	 outidx = 392	 outval = -59
idx = 1057	 inval = -2005598208	 outidx = 393	 outval = -59
idx = 1060	 inval = -2005139456	 outidx = 394	 outval = -59
idx = 1065	 inval = -2004746240	 outidx = 396	 outval = -59
idx = 1068	 inval = -2004287488	 outidx = 397	 outval = -59
idx = 1071	 inval = -2004025344	 outidx = 398	 outval = -59
idx = 1073	 inval = -2003763200	 outidx = 399	 outval = -59
idx = 1076	 inval = -2003369984	 outidx = 400	 outval = -59
idx = 1079	 inval = -2003107840	 outidx = 401	 outval = -59
idx = 1082	 inval = -2002583552	 outidx = 402	 outval = -59
idx = 1084	 inval = -2002321408	 outidx = 403	 outval = -59
idx = 1087	 inval = -2002059264	 outidx = 404	 outval = -59
idx = 1090	 inval = -2001666048	 outidx = 405	 outval = -59
idx = 1095	 inval = -2001207296	 outidx = 407	 outval = -59
idx = 1098	 inval = -2000683008	 outidx = 408	 outval = -59
idx = 1100	 inval = -2000486400	 outidx = 409	 outval = -59
idx = 1103	 inval = -2000289792	 outidx = 410	 outval = -59
idx = 1106	 inval = -1999831040	 outidx = 411	 outval = -59
idx = 1108	 inval = -557842432	 outidx = 412	 outval = -16
idx = 1111	 inval = -1080819712	 outidx = 413	 outval = -32
idx = 1114	 inval = -1627455488	 outidx = 414	 outval = -48
idx = 1117	 inval = -1762459648	 outidx = 415	 outval = -52
idx = 1119	 inval = -1848246272	 outidx = 416	 outval = -55
idx = 1125	 inval = -1959133184	 outidx = 418	 outval = -58
idx = 1127	 inval = -1972895744	 outidx = 419	 outval = -58
idx = 1130	 inval = -1987182592	 outidx = 420	 outval = -59
idx = 1133	 inval = -1990524928	 outidx = 421	 outval = -59
idx = 1135	 inval = -1992556544	 outidx = 422	 outval = -59
idx = 1138	 inval = -1994588160	 outidx = 423	 outval = -59
idx = 1141	 inval = -1994915840	 outidx = 424	 outval = -59
idx = 1143	 inval = -1995112448	 outidx = 425	 outval = -59
idx = 1146	 inval = -1994981376	 outidx = 426	 outval = -59
idx = 1149	 inval = -1994915840	 outidx = 427	 outval = -59
idx = 1154	 inval = -1994260480	 outidx = 429	 outval = -59
idx = 1157	 inval = -1993998336	 outidx = 430	 outval = -59
idx = 1160	 inval = -1993474048	 outidx = 431	 outval = -59
idx = 1162	 inval = -1993277440	 outidx = 432	 outval = -59
idx = 1165	 inval = -1993015296	 outidx = 433	 outval = -59
idx = 1168	 inval = -1992622080	 outidx = 434	 outval = -59
idx = 1170	 inval = -1992359936	 outidx = 435	 outval = -59
idx = 1173	 inval = -1992163328	 outidx = 436	 outval = -59
idx = 1176	 inval = -1991704576	 outidx = 437	 outval = -59
idx = 1178	 inval = -1991442432	 outidx = 438	 outval = -59
idx = 1184	 inval = -1990787072	 outidx = 440	 outval = -59
idx = 1187	 inval = -1990524928	 outidx = 441	 outval = -59
idx = 1189	 inval = -1990328320	 outidx = 442	 outval = -59
idx = 1192	 inval = -1989738496	 outidx = 443	 outval = -59
idx = 1195	 inval = -1989607424	 outidx = 444	 outval = -59
idx = 1197	 inval = -1989345280	 outidx = 445	 outval = -59
idx = 1200	 inval = -1988886528	 outidx = 446	 outval = -59
idx = 1203	 inval = -1988689920	 outidx = 447	 outval = -59
idx = 1205	 inval = -1988427776	 outidx = 448	 outval = -59
idx = 1208	 inval = -1988034560	 outidx = 449	 outval = -59
idx = 1213	 inval = -1987575808	 outidx = 451	 outval = -59
idx = 1216	 inval = -1987117056	 outidx = 452	 outval = -59
idx = 1219	 inval = -1986854912	 outidx = 453	 outval = -59
idx = 1222	 inval = -1986396160	 outidx = 454	 outval = -59
idx = 1224	 inval = -1986199552	 outidx = 455	 outval = -59
idx = 1227	 inval = -1985871872	 outidx = 456	 outval = -59
idx = 1230	 inval = -1985413120	 outidx = 457	 outval = -59
idx = 1232	 inval = -1985150976	 outidx = 458	 outval = -59
idx = 1235	 inval = -1984888832	 outidx = 459	 outval = -59
idx = 1238	 inval = -1984495616	 outidx = 460	 outval = -59
idx = 1243	 inval = -1984036864	 outidx = 462	 outval = -59
idx = 1246	 inval = -1983578112	 outidx = 463	 outval = -59
idx = 1248	 inval = -1983381504	 outidx = 464	 outval = -59
idx = 1251	 inval = -1983184896	 outidx = 465	 outval = -59
idx = 1254	 inval = -1982660608	 outidx = 466	 outval = -59
idx = 1257	 inval = -1982464000	 outidx = 467	 outval = -59
idx = 1259	 inval = -1982201856	 outidx = 468	 outval = -59
idx = 1262	 inval = -1981677568	 outidx = 469	 outval = -59
idx = 1265	 inval = -1981480960	 outidx = 470	 outval = -59
idx = 1267	 inval = -1981218816	 outidx = 471	 outval = -59
idx = 1273	 inval = -1980563456	 outidx = 473	 outval = -59
idx = 1275	 inval = -1980301312	 outidx = 474	 outval = -59
idx = 1278	 inval = -1979908096	 outidx = 475	 outval = -59
idx = 1281	 inval = -1979645952	 outidx = 476	 outval = -58
idx = 1283	 inval = -1979514880	 outidx = 477	 outval = -58
idx = 1286	 inval = -1978990592	 outidx = 478	 outval = -58
idx = 1289	 inval = -1978793984	 outidx = 479	 outval = -58
idx = 1291	 inval = -1978531840	 outidx = 480	 outval = -58
idx = 1294	 inval = -1978073088	 outidx = 481	 outval = -58
idx = 1297	 inval = -1977876480	 outidx = 482	 outval = -58
